0 1 1 6 4 7 5 8 7 8 8 11 9 12 10 13 12 13 13 16 14 17 15 18 5 6 6 9 7 10 8 11 10 11 11 14 12 15 13 16 15 16 16 19 17 20 18 21 8 9 9 12 10 13 11 14 13 14 14 17 15 18 16 19 18 19 19 22 20 23 21 24 17 18 18 21 19 22 20 23 21 24 20 21 21 24 22 25 23 26 24 27 23 24 24 27 25 28 26 29
1 0 12 1 11 4 8 5 8 7 11 8 12 9 13 10 13 12 16 13 17 14 18 15 2 5 3 8 4 9 5 8 7 8 8 11 9 12 10 13 12 13 13 16 14 17 15 18 7 8 8 11 9 12 10 11 10 11 11 14 12 15 13 16 15 16 16 19 17 20 18 21 18 17 21 18 22 19 23 20 24 21 17 18 18 21 19 22 20 23 21 24 20 21 21 24 22 25 23 26
1 12 0 1 1 10 4 7 6 7 7 10 8 11 9 12 11 12 12 15 13 16 14 17 12 15 11 14 10 13 9 10 9 10 10 13 11 14 12 15 14 15 15 18 16 19 17 20 15 18 14 17 13 16 12 13 12 13 13 16 14 17 15 18 17 18 18 21 19 22 20 23 16 17 17 20 18 21 19 22 20 23 19 20 20 23 21 24 22 25 23 26 22 23 23 26 24 27 25 28
6 1 1 0 10 1 7 4 7 6 10 7 11 8 12 9 12 11 15 12 16 13 17 14 3 6 2 9 3 10 4 7 6 7 7 10 8 11 9 12 11 12 12 15 13 16 14 17 8 9 9 12 10 13 9 10 9 10 10 13 11 14 12 15 14 15 15 18 16 19 17 20 17 16 20 17 21 18 22 19 23 20 16 17 17 20 18 21 19 22 20 23 19 20 20 23 21 24 22 25
4 11 1 10 0 1 1 6 5 6 6 9 7 10 8 11 10 11 11 14 12 15 13 16 11 14 10 13 9 12 8 9 8 9 9 12 10 13 11 14 13 14 14 17 15 18 16 19 14 17 13 16 12 15 11 12 11 12 12 15 13 16 14 17 16 17 17 20 18 21 19 22 15 16 16 19 17 20 18 21 19 22 18 19 19 22 20 23 21 24 22 25 21 22 22 25 23 26 24 27
7 4 10 1 1 0 6 1 6 5 9 6 10 7 11 8 11 10 14 11 15 12 16 13 4 7 3 10 2 9 3 6 5 6 6 9 7 10 8 11 10 11 11 14 12 15 13 16 9 10 10 13 9 12 8 9 8 9 9 12 10 13 11 14 13 14 14 17 15 18 16 19 16 15 19 16 20 17 21 18 22 19 15 16 16 19 17 20 18 21 19 22 18 19 19 22 20 23 21 24
5 8 4 7 1 6 0 1 2 3 5 6 6 7 7 8 9 10 10 11 11 12 12 13 8 11 7 10 6 9 5 6 5 6 6 9 7 10 8 11 10 11 11 14 12 15 13 16 11 14 10 13 9 12 8 9 8 9 9 12 10 13 11 14 13 14 14 17 15 18 16 19 14 15 15 16 16 17 17 18 18 19 15 16 16 19 17 20 18 21 19 22 18 19 19 22 20 23 21 24
8 5 7 4 6 1 1 0 3 2 6 5 7 6 8 7 10 9 11 10 12 11 13 12 5 8 4 9 3 8 2 5 4 5 5 8 6 9 7 10 9 10 10 13 11 14 12 15 10 11 9 12 8 11 7 8 7 8 8 11 9 12 10 13 12 13 13 16 14 17 15 18 15 14 16 15 17 16 18 17 19 18 14 15 15 18 16 19 17 20 18 21 17 18 18 21 19 22 20 23
7 8 6 7 5 6 2 3 0 1 1 6 4 7 5 8 7 8 8 11 9 12 10 13 8 11 7 10 6 9 5 6 5 6 6 9 7 10 8 11 10 11 11 14 12 15 13 16 11 14 10 13 9 12 8 9 8 9 9 12 10 13 11 14 13 14 14 17 15 18 16 19 12 13 13 16 14 17 15 18 16 19 15 16 16 19 17 20 18 21 19 22 18 19 19 22 20 23 21 24
8 7 7 6 6 5 3 2 1 0 6 1 7 4 8 5 8 7 11 8 12 9 13 10 7 10 6 9 5 8 4 5 2 5 3 8 4 9 5 8 7 8 8 11 9 12 10 13 10 13 9 12 8 11 7 8 7 8 8 11 9 12 10 11 10 11 11 14 12 15 13 16 13 12 16 13 17 14 18 15 19 16 12 13 13 16 14 17 15 18 16 19 15 16 16 19 17 20 18 21
8 11 7 10 6 9 5 6 1 6 0 1 1 10 4 7 6 7 7 10 8 11 9 12 11 14 10 13 9 12 8 9 8 9 9 12 10 13 9 10 9 10 10 13 11 14 12 15 14 17 13 16 12 15 11 12 11 12 12 15 13 16 12 13 12 13 13 16 14 17 15 18 11 12 12 15 13 16 14 17 15 18 14 15 15 18 16 19 17 20 18 21 17 18 18 21 19 22 20 23
11 8 10 7 9 6 6 5 6 1 1 0 10 1 7 4 7 6 10 7 11 8 12 9 8 11 7 10 6 9 5 6 3 6 2 9 3 10 4 7 6 7 7 10 8 11 9 12 11 14 10 13 9 12 8 9 8 9 9 12 10 13 9 10 9 10 10 13 11 14 12 15 12 11 15 12 16 13 17 14 18 15 11 12 12 15 13 16 14 17 15 18 14 15 15 18 16 19 17 20
9 12 8 11 7 10 6 7 4 7 1 10 0 1 1 6 5 6 6 9 7 10 8 11 12 15 11 14 10 13 9 10 9 10 10 13 9 12 8 9 8 9 9 12 10 13 11 14 15 18 14 17 13 16 12 13 12 13 13 16 12 15 11 12 11 12 12 15 13 16 14 17 10 11 11 14 12 15 13 16 14 17 13 14 14 17 15 18 16 19 17 20 16 17 17 20 18 21 19 22
12 9 11 8 10 7 7 6 7 4 10 1 1 0 6 1 6 5 9 6 10 7 11 8 9 12 8 11 7 10 6 7 4 7 3 10 2 9 3 6 5 6 6 9 7 10 8 11 12 15 11 14 10 13 9 10 9 10 10 13 9 12 8 9 8 9 9 12 10 13 11 14 11 10 14 11 15 12 16 13 17 14 10 11 11 14 12 15 13 16 14 17 13 14 14 17 15 18 16 19
10 13 9 12 8 11 7 8 5 8 4 7 1 6 0 1 2 3 5 6 6 7 7 8 13 16 12 15 11 14 10 11 8 11 7 10 6 9 5 6 5 6 6 9 7 10 8 11 16 19 15 18 14 17 13 14 11 14 10 13 9 12 8 9 8 9 9 12 10 13 11 14 9 10 10 11 11 12 12 13 13 14 10 11 11 14 12 15 13 16 14 17 13 14 14 17 15 18 16 19
13 10 12 9 11 8 8 7 8 5 7 4 6 1 1 0 3 2 6 5 7 6 8 7 10 13 9 12 8 11 7 8 5 8 4 9 3 8 2 5 4 5 5 8 6 9 7 10 13 16 12 15 11 14 10 11 10 11 9 12 8 11 7 8 7 8 8 11 9 12 10 13 10 9 11 10 12 11 13 12 14 13 9 10 10 13 11 14 12 15 13 16 12 13 13 16 14 17 15 18
